flight_id,flight_date,carrier_code,flight_number,origin_airport,dest_airport,route,scheduled_dep_time,departure_delay_minutes,arrival_delay_minutes,is_arr_on_time,is_dep_on_time,cancelled,cancellation_reason,diverted,air_time_minutes,distance_miles,taxi_out_minutes,taxi_in_minutes,carrier_delay_minutes,weather_delay_minutes,nas_delay_minutes,security_delay_minutes,late_aircraft_delay_minutes,month,day_of_week
fl_0000001,2024-03-27,DL,6362,LAS,MCO,LAS-MCO,09:15,53.0,58.0,0,0,0,,0,104.0,672,33,17,7.2,23.0,12.0,10.6,5.2,3,Wednesday
fl_0000002,2024-06-17,DL,4571,FLL,PHX,FLL-PHX,09:15,5.0,-2.0,1,1,0,,0,144.0,1056,26,15,0.0,0.0,0.0,0.0,0.0,6,Monday
fl_0000003,2024-05-29,HA,790,MSP,JFK,MSP-JFK,13:15,-2.0,0.0,1,1,0,,0,364.0,2505,10,12,0.0,0.0,0.0,0.0,0.0,5,Wednesday
fl_0000004,2024-02-03,G4,3491,PHL,ORD,PHL-ORD,21:15,-4.0,-5.0,1,1,0,,0,113.0,726,22,8,0.0,0.0,0.0,0.0,0.0,2,Saturday
fl_0000005,2024-06-13,G4,1867,BOS,MCO,BOS-MCO,18:15,-15.0,-13.0,1,1,0,,0,193.0,1339,21,5,0.0,0.0,0.0,0.0,0.0,6,Thursday
fl_0000006,2024-04-13,UA,6051,LGA,SFO,LGA-SFO,13:45,-5.0,-9.0,1,1,0,,0,188.0,1350,13,11,0.0,0.0,0.0,0.0,0.0,4,Saturday
fl_0000007,2024-05-09,WN,5380,BOS,CLT,BOS-CLT,15:00,-12.0,-13.0,1,1,0,,0,79.0,521,19,9,0.0,0.0,0.0,0.0,0.0,5,Thursday
fl_0000008,2024-05-09,AA,3215,IAD,LAX,IAD-LAX,12:45,-8.0,-17.0,1,1,0,,0,199.0,1332,13,16,0.0,0.0,0.0,0.0,0.0,5,Thursday
fl_0000009,2024-02-07,B6,6174,SFO,BWI,SFO-BWI,12:45,-11.0,-7.0,1,1,0,,0,306.0,2299,11,19,0.0,0.0,0.0,0.0,0.0,2,Wednesday
fl_0000010,2024-03-13,DL,1630,LAX,CLT,LAX-CLT,07:15,-9.0,-14.0,1,1,0,,0,210.0,1444,28,5,0.0,0.0,0.0,0.0,0.0,3,Wednesday
