order_id,order_item_id,product_id,seller_id,price,freight_value,total_item_value
ord_001747,1,prod_00096,seller_0147,35.45,59.8,95.25
ord_001829,2,prod_00352,seller_0058,163.02,34.85,197.87
ord_001013,3,prod_00474,seller_0036,108.02,10.5,118.52
ord_001294,1,prod_00075,seller_0028,246.38,53.59,299.97
ord_000863,2,prod_00366,seller_0131,25.16,25.68,50.84
ord_000732,3,prod_00082,seller_0101,237.71,10.54,248.25
ord_001532,1,prod_00128,seller_0107,56.66,54.27,110.93
ord_001252,2,prod_00359,seller_0089,142.66,38.46,181.12
ord_001452,3,prod_00133,seller_0035,19.91,47.69,67.6
ord_001894,1,prod_00400,seller_0093,127.86,60.31,188.17
ord_001747,2,prod_00139,seller_0105,166.59,39.76,206.35
ord_000810,3,prod_00246,seller_0076,70.21,37.68,107.89
ord_001025,1,prod_00291,seller_0084,44.11,25.99,70.1
ord_000023,2,prod_00112,seller_0076,107.57,26.79,134.36
ord_001527,3,prod_00203,seller_0050,229.91,53.81,283.72
ord_001472,1,prod_00170,seller_0100,61.91,34.7,96.61
ord_000796,2,prod_00087,seller_0072,49.92,18.99,68.91
ord_000496,3,prod_00119,seller_0115,54.24,15.2,69.44
ord_000900,1,prod_00098,seller_0077,372.42,36.01,408.43
ord_000425,2,prod_00240,seller_0121,68.42,35.57,103.99
ord_000700,3,prod_00337,seller_0054,15.43,45.94,61.37
ord_000018,1,prod_00138,seller_0071,197.62,35.91,233.53
ord_001983,2,prod_00082,seller_0085,159.19,17.89,177.08
ord_001469,3,prod_00236,seller_0102,31.51,37.93,69.44
ord_001585,1,prod_00136,seller_0107,518.2,59.87,578.07
ord_001583,2,prod_00282,seller_0028,127.4,18.77,146.17
ord_000627,3,prod_00003,seller_0108,98.36,47.94,146.3
ord_001063,1,prod_00059,seller_0021,72.79,42.66,115.45
ord_001753,2,prod_00116,seller_0027,289.73,51.17,340.9
ord_001234,3,prod_00472,seller_0077,48.56,18.28,66.84
ord_001798,1,prod_00131,seller_0050,55.39,61.79,117.18
ord_000211,2,prod_00422,seller_0057,30.67,44.15,74.82
ord_000565,3,prod_00386,seller_0119,185.81,56.59,242.4
ord_000972,1,prod_00483,seller_0064,123.63,23.56,147.19
ord_001305,2,prod_00401,seller_0048,127.71,50.67,178.38
ord_001891,3,prod_00201,seller_0004,44.58,52.96,97.54
ord_001857,1,prod_00292,seller_0131,141.38,31.86,173.24
ord_000133,2,prod_00342,seller_0061,189.01,31.12,220.13
ord_000449,3,prod_00479,seller_0096,68.16,46.18,114.34
ord_000264,1,prod_00098,seller_0004,208.94,15.14,224.08
ord_001831,2,prod_00216,seller_0065,66.47,50.46,116.93
ord_000111,3,prod_00124,seller_0140,185.33,12.36,197.69
ord_001579,1,prod_00073,seller_0141,19.12,20.48,39.6
ord_000850,2,prod_00366,seller_0124,111.13,46.53,157.66
ord_001262,3,prod_00378,seller_0093,433.91,15.41,449.32
ord_001915,1,prod_00491,seller_0031,492.15,63.45,555.6
ord_001481,2,prod_00130,seller_0071,54.71,57.76,112.47
ord_000901,3,prod_00469,seller_0141,84.88,44.45,129.33
ord_000759,1,prod_00418,seller_0002,22.81,55.05,77.86
ord_001540,2,prod_00027,seller_0050,262.95,58.82,321.77
ord_001900,3,prod_00165,seller_0135,115.88,24.27,140.15
