order_id,payment_sequential,payment_type,payment_installments,payment_value
ord_000366,1,credit_card,6,27.81
ord_001644,1,boleto,1,200.32
ord_001092,1,credit_card,2,37.37
ord_001128,1,credit_card,10,22.03
ord_001425,1,credit_card,5,429.38
ord_001270,1,credit_card,8,50.0
ord_001701,1,credit_card,4,266.49
ord_000192,1,boleto,1,487.24
ord_001731,1,credit_card,5,126.94
ord_000644,1,credit_card,9,124.55
ord_001320,1,credit_card,2,84.11
ord_001168,1,credit_card,2,97.62
ord_000907,1,boleto,1,112.11
ord_000731,1,credit_card,6,43.1
ord_000026,1,credit_card,6,83.52
ord_001275,1,boleto,1,257.08
ord_001631,1,credit_card,3,48.19
ord_001890,1,credit_card,9,203.23
ord_000712,1,boleto,1,167.61
ord_000615,1,credit_card,1,28.26
ord_000193,1,credit_card,3,23.18
ord_000381,1,credit_card,8,80.86
ord_001026,1,credit_card,8,184.95
ord_001783,1,credit_card,4,76.15
ord_001627,1,credit_card,8,174.25
ord_001069,1,credit_card,10,173.3
ord_000939,1,credit_card,8,249.99
ord_000003,1,credit_card,1,34.67
ord_000930,1,credit_card,3,140.5
ord_001872,1,credit_card,1,29.03
ord_001473,1,credit_card,2,47.09
ord_001600,1,credit_card,4,75.13
ord_001159,1,credit_card,3,192.05
ord_001315,1,credit_card,6,530.3
ord_000278,1,credit_card,5,78.71
ord_000176,1,credit_card,5,123.09
ord_001952,1,credit_card,10,61.98
ord_000282,1,credit_card,7,177.56
ord_001144,1,voucher,1,83.93
ord_001798,1,credit_card,7,111.98
ord_001198,1,credit_card,9,137.45
ord_001463,1,boleto,1,182.28
ord_000459,1,credit_card,8,28.67
ord_001654,1,credit_card,3,133.32
ord_000951,1,voucher,1,98.98
ord_000341,1,credit_card,2,40.1
ord_000697,1,boleto,1,52.65
ord_001779,1,credit_card,1,321.45
ord_000726,1,boleto,1,307.56
ord_000121,1,credit_card,10,24.75
ord_000575,1,credit_card,6,183.7
ord_001921,1,credit_card,4,133.1
ord_001685,1,credit_card,3,413.45
ord_001517,1,credit_card,2,354.04
ord_000276,1,credit_card,2,141.3
ord_000969,1,credit_card,4,40.95
ord_000987,1,boleto,1,106.22
ord_000029,1,credit_card,1,200.82
ord_001835,1,boleto,1,444.35
ord_001761,1,credit_card,6,83.32
ord_000685,1,credit_card,10,234.98
ord_001268,1,credit_card,5,180.99
ord_000321,1,credit_card,10,31.41
ord_000643,1,credit_card,9,134.3
ord_000352,1,credit_card,2,48.38
ord_000532,1,credit_card,9,181.08
ord_001105,1,credit_card,9,151.86
ord_001317,1,credit_card,10,525.92
ord_000294,1,boleto,1,403.5
ord_001521,1,credit_card,9,21.32
ord_000458,1,credit_card,10,31.68
ord_000747,1,debit_card,1,225.23
ord_001837,1,credit_card,10,182.01
ord_000733,1,credit_card,4,245.98
ord_001706,1,boleto,1,63.45
ord_001582,1,credit_card,5,284.97
ord_001084,1,boleto,1,101.78
ord_001632,1,credit_card,8,62.52
ord_001805,1,credit_card,8,21.49
ord_000543,1,credit_card,1,307.11
ord_000380,1,debit_card,1,127.3
ord_000324,1,boleto,1,538.6
ord_001652,1,boleto,1,195.58
ord_001086,1,credit_card,10,31.74
ord_000945,1,credit_card,1,144.21
ord_001170,1,credit_card,10,22.42
ord_000843,1,boleto,1,134.23
ord_000362,1,credit_card,6,80.35
ord_000053,1,credit_card,7,164.32
ord_000402,1,credit_card,2,129.19
ord_001587,1,credit_card,2,62.41
ord_000681,1,credit_card,5,44.8
ord_001893,1,credit_card,9,92.62
ord_000993,1,credit_card,5,626.24
ord_000869,1,boleto,1,100.1
ord_000707,1,credit_card,8,213.4
ord_001473,1,credit_card,8,28.21
ord_001107,1,credit_card,5,86.67
ord_000379,1,voucher,1,141.56
ord_000646,1,credit_card,8,214.75
ord_001482,1,credit_card,8,125.22
ord_000933,1,credit_card,5,121.39
ord_001804,1,credit_card,5,222.09
ord_000081,1,voucher,1,72.62
ord_000731,1,boleto,1,33.3
ord_000514,1,credit_card,4,79.7
ord_001333,1,credit_card,1,44.24
ord_000921,1,credit_card,9,493.17
ord_000763,1,credit_card,2,140.62
ord_000494,1,credit_card,1,102.83
ord_001260,1,credit_card,6,360.34
ord_001692,1,credit_card,5,342.87
ord_000941,1,boleto,1,95.23
ord_001061,1,credit_card,1,310.82
ord_000741,1,credit_card,7,29.26
ord_001681,1,credit_card,7,323.67
ord_000325,1,credit_card,3,72.07
ord_001080,1,boleto,1,136.58
ord_001145,1,credit_card,8,64.0
ord_000314,1,credit_card,6,606.1
ord_001235,1,credit_card,4,30.43
ord_001796,1,credit_card,10,102.92
ord_000103,1,boleto,1,155.83
ord_000439,1,credit_card,10,153.85
ord_000817,1,boleto,1,207.92
ord_000747,1,boleto,1,200.44
ord_000038,1,voucher,1,240.6
ord_000813,1,boleto,1,57.37
ord_001644,1,credit_card,10,84.8
ord_001438,1,voucher,1,87.38
ord_001248,1,credit_card,3,456.79
ord_001017,1,credit_card,1,93.71
ord_001317,1,credit_card,2,55.12
ord_001720,1,credit_card,2,160.09
ord_000155,1,credit_card,5,98.03
ord_001056,1,credit_card,4,60.29
ord_001258,1,credit_card,2,195.8
ord_001931,1,credit_card,9,49.83
ord_000489,1,credit_card,7,160.47
ord_001786,1,boleto,1,98.83
ord_001594,1,credit_card,8,73.82
ord_001357,1,credit_card,8,428.58
ord_001699,1,credit_card,2,74.9
ord_001041,1,credit_card,5,79.77
ord_001438,1,credit_card,3,306.32
ord_001790,1,credit_card,10,39.34
ord_001682,1,credit_card,9,36.01
ord_001765,1,credit_card,9,66.52
ord_000240,1,credit_card,6,145.38
ord_001310,1,voucher,1,87.9
ord_000346,1,credit_card,4,151.31
ord_001399,1,boleto,1,44.37
ord_000016,1,credit_card,8,62.43
ord_000587,1,credit_card,5,136.59
ord_000950,1,debit_card,1,54.27
ord_000260,1,boleto,1,96.94
ord_001919,1,credit_card,3,139.02
ord_000361,1,credit_card,8,529.08
ord_001423,1,credit_card,6,31.66
ord_000460,1,credit_card,5,106.37
ord_001947,1,credit_card,1,90.65
ord_001540,1,boleto,1,263.41
ord_000931,1,boleto,1,342.78
ord_001787,1,credit_card,3,352.54
ord_001109,1,boleto,1,85.83
ord_001087,1,credit_card,7,70.87
ord_000100,1,credit_card,3,103.48
ord_001858,1,credit_card,1,79.02
ord_000755,1,credit_card,8,197.64
ord_000295,1,boleto,1,53.64
ord_001948,1,boleto,1,170.49
ord_001186,1,credit_card,7,386.4
ord_000929,1,credit_card,5,65.97
ord_001202,1,boleto,1,178.17
ord_001468,1,boleto,1,41.7
ord_000328,1,credit_card,10,38.12
ord_001352,1,credit_card,5,37.21
ord_000764,1,boleto,1,40.88
ord_001066,1,credit_card,6,54.1
ord_000242,1,credit_card,7,135.84
ord_001366,1,boleto,1,223.93
ord_001115,1,credit_card,3,38.99
ord_001052,1,boleto,1,305.65
ord_000459,1,credit_card,4,278.96
ord_000667,1,credit_card,1,201.96
ord_001655,1,credit_card,7,97.71
ord_001409,1,credit_card,10,20.22
ord_001511,1,credit_card,2,205.8
ord_000220,1,credit_card,7,315.66
ord_000859,1,credit_card,6,77.18
ord_000264,1,voucher,1,197.21
ord_000121,1,credit_card,4,28.97
ord_001070,1,credit_card,2,193.06
ord_001304,1,credit_card,7,29.91
ord_001139,1,credit_card,7,143.87
ord_001192,1,credit_card,5,147.43
ord_000435,1,credit_card,9,70.37
ord_001270,1,boleto,1,31.54
ord_000484,1,credit_card,3,437.55
ord_001399,1,credit_card,9,127.37
ord_000280,1,credit_card,5,141.37
ord_001770,1,credit_card,2,153.64
