product_id,product_category_name,product_category_name_english,product_weight_g,product_length_cm,product_height_cm,product_width_cm
prod_00001,beleza_saude,Health & Beauty,1153,30,26,39
prod_00002,relogios_presentes,Watches & Gifts,10808,73,55,17
prod_00003,cama_mesa_banho,"Bed, Bath & Table",7654,35,33,27
prod_00004,esporte_lazer,Sports & Leisure,2616,26,20,31
prod_00005,informatica_acessorios,Computers & Accessories,10280,30,35,27
prod_00006,moveis_decoracao,Furniture & Decor,2089,28,43,18
prod_00007,utilidades_domesticas,Housewares,1785,75,37,25
prod_00008,automotivo,Automotive,10040,60,12,37
prod_00009,telefonia,Telephony,8245,46,20,37
prod_00010,brinquedos,Toys,6415,29,47,25
prod_00011,ferramentas_jardim,Garden Tools,12869,58,23,18
prod_00012,perfumaria,Perfumery,10433,31,35,44
prod_00013,bebes,Baby,2045,55,57,37
prod_00014,eletronicos,Electronics,14381,68,30,31
prod_00015,papelaria,Stationery,13778,58,48,14
prod_00016,fashion_bolsas_e_acessorios,Fashion Bags & Accessories,6674,19,39,15
prod_00017,beleza_saude,Health & Beauty,12582,41,17,37
prod_00018,relogios_presentes,Watches & Gifts,11740,57,29,22
prod_00019,cama_mesa_banho,"Bed, Bath & Table",14848,45,57,13
prod_00020,esporte_lazer,Sports & Leisure,1223,31,41,25
prod_00021,informatica_acessorios,Computers & Accessories,5334,68,31,41
prod_00022,moveis_decoracao,Furniture & Decor,2552,76,16,23
prod_00023,utilidades_domesticas,Housewares,5045,46,18,37
prod_00024,automotivo,Automotive,7481,54,54,44
prod_00025,telefonia,Telephony,11554,27,10,24
prod_00026,brinquedos,Toys,12379,49,38,25
prod_00027,ferramentas_jardim,Garden Tools,9493,19,17,35
prod_00028,perfumaria,Perfumery,10787,43,13,45
prod_00029,bebes,Baby,2106,39,44,37
prod_00030,eletronicos,Electronics,7173,36,12,32
prod_00031,papelaria,Stationery,12900,59,54,39
prod_00032,fashion_bolsas_e_acessorios,Fashion Bags & Accessories,14212,15,49,47
prod_00033,beleza_saude,Health & Beauty,14483,58,16,13
prod_00034,relogios_presentes,Watches & Gifts,4057,53,36,20
prod_00035,cama_mesa_banho,"Bed, Bath & Table",957,68,10,34
prod_00036,esporte_lazer,Sports & Leisure,8528,43,36,26
prod_00037,informatica_acessorios,Computers & Accessories,14181,68,25,24
prod_00038,moveis_decoracao,Furniture & Decor,4977,30,47,34
prod_00039,utilidades_domesticas,Housewares,14373,34,16,28
prod_00040,automotivo,Automotive,13651,60,53,13
prod_00041,telefonia,Telephony,13849,79,32,31
prod_00042,brinquedos,Toys,4674,72,50,31
prod_00043,ferramentas_jardim,Garden Tools,9649,67,20,14
prod_00044,perfumaria,Perfumery,2434,15,51,23
prod_00045,bebes,Baby,5463,43,42,13
prod_00046,eletronicos,Electronics,13748,22,59,47
prod_00047,papelaria,Stationery,13208,43,45,25
prod_00048,fashion_bolsas_e_acessorios,Fashion Bags & Accessories,907,65,46,27
prod_00049,beleza_saude,Health & Beauty,12573,47,50,30
prod_00050,relogios_presentes,Watches & Gifts,5037,17,26,45
prod_00051,cama_mesa_banho,"Bed, Bath & Table",4004,74,44,17
prod_00052,esporte_lazer,Sports & Leisure,12608,49,57,24
prod_00053,informatica_acessorios,Computers & Accessories,10548,34,14,47
prod_00054,moveis_decoracao,Furniture & Decor,14686,53,57,33
prod_00055,utilidades_domesticas,Housewares,3708,18,41,29
prod_00056,automotivo,Automotive,9922,33,12,23
prod_00057,telefonia,Telephony,1111,59,56,41
prod_00058,brinquedos,Toys,3997,57,44,18
prod_00059,ferramentas_jardim,Garden Tools,6876,27,23,43
prod_00060,perfumaria,Perfumery,3725,27,57,30
