fact_id,ticker,fiscal_period,form_type,revenue_mil_usd,net_income_mil_usd,free_cash_flow_mil_usd,rnd_expense_mil_usd,gross_margin_pct,operating_margin_pct,eps_diluted_usd,filing_date
fact_AAPL_2023-Q1,AAPL,2023-Q1,10-Q,67443.7,18969.4,22964.6,10339.3,66.3,31.9,2.74,2023-15-15
fact_AAPL_2023-Q2,AAPL,2023-Q2,10-Q,20964.9,5274.7,5745.3,3494.0,57.5,31.3,2.19,2023-25-15
fact_AAPL_2023-Q3,AAPL,2023-Q3,10-Q,45445.6,14156.8,14932.6,9593.9,61.5,21.1,2.2,2023-35-15
fact_AAPL_2023-Q4,AAPL,2023-Q4,10-K,56330.7,14628.5,18233.5,10817.4,67.9,29.7,1.08,2023-45-15
fact_AAPL_2024-Q1,AAPL,2024-Q1,10-Q,15155.5,3023.7,2602.0,3207.3,50.7,36.1,2.07,2024-15-15
fact_AAPL_2024-Q2,AAPL,2024-Q2,10-Q,54191.3,10207.7,11636.6,10384.2,45.2,25.0,1.84,2024-25-15
fact_MSFT_2023-Q1,MSFT,2023-Q1,10-Q,38068.8,12178.0,14616.0,3228.1,63.0,21.5,2.46,2023-15-15
fact_MSFT_2023-Q2,MSFT,2023-Q2,10-Q,30972.7,7868.7,6729.2,3537.5,48.5,37.3,2.69,2023-25-15
fact_MSFT_2023-Q3,MSFT,2023-Q3,10-Q,46867.1,6208.2,6401.6,4114.8,56.5,27.1,1.82,2023-35-15
fact_MSFT_2023-Q4,MSFT,2023-Q4,10-K,66078.1,19059.5,17012.7,12651.7,68.0,22.4,2.19,2023-45-15
fact_MSFT_2024-Q1,MSFT,2024-Q1,10-Q,71058.9,15989.1,13639.5,7684.6,68.4,36.5,1.92,2024-15-15
fact_MSFT_2024-Q2,MSFT,2024-Q2,10-Q,81666.2,12907.7,12478.0,11361.5,64.0,31.8,1.71,2024-25-15
fact_NVDA_2023-Q1,NVDA,2023-Q1,10-Q,48824.0,10953.2,12770.7,9247.8,54.7,28.7,2.91,2023-15-15
fact_NVDA_2023-Q2,NVDA,2023-Q2,10-Q,49766.1,7191.2,6658.5,8976.0,56.7,35.8,1.71,2023-25-15
fact_NVDA_2023-Q3,NVDA,2023-Q3,10-Q,69317.0,13309.1,14579.1,11130.0,45.3,32.7,2.34,2023-35-15
fact_NVDA_2023-Q4,NVDA,2023-Q4,10-K,17532.4,2502.6,2582.4,1742.6,54.0,35.4,1.23,2023-45-15
fact_NVDA_2024-Q1,NVDA,2024-Q1,10-Q,15763.5,3167.3,3083.5,1751.4,46.3,28.5,2.06,2024-15-15
fact_NVDA_2024-Q2,NVDA,2024-Q2,10-Q,36594.8,6982.1,6197.0,7083.8,69.0,35.4,2.76,2024-25-15
fact_AMZN_2023-Q1,AMZN,2023-Q1,10-Q,62346.8,9229.9,10993.2,12720.7,54.4,25.0,2.91,2023-15-15
fact_AMZN_2023-Q2,AMZN,2023-Q2,10-Q,41305.6,5191.3,5928.4,8697.0,49.9,35.5,2.19,2023-25-15
fact_AMZN_2023-Q3,AMZN,2023-Q3,10-Q,22379.3,4689.3,5350.1,2452.5,64.7,22.1,2.3,2023-35-15
fact_AMZN_2023-Q4,AMZN,2023-Q4,10-K,61486.3,11986.9,14337.4,9733.5,58.4,33.0,1.54,2023-45-15
fact_AMZN_2024-Q1,AMZN,2024-Q1,10-Q,58117.7,11960.4,14896.7,9216.8,42.3,20.3,2.29,2024-15-15
fact_AMZN_2024-Q2,AMZN,2024-Q2,10-Q,49627.8,13727.6,15817.9,6691.7,63.7,35.1,1.15,2024-25-15
fact_GOOGL_2023-Q1,GOOGL,2023-Q1,10-Q,85393.0,24790.5,25075.9,14152.8,43.4,21.1,3.12,2023-15-15
fact_GOOGL_2023-Q2,GOOGL,2023-Q2,10-Q,71588.8,14158.2,13328.2,12969.4,68.8,37.6,1.1,2023-25-15
fact_GOOGL_2023-Q3,GOOGL,2023-Q3,10-Q,19679.8,5311.9,5620.0,3156.4,50.0,20.7,2.81,2023-35-15
fact_GOOGL_2023-Q4,GOOGL,2023-Q4,10-K,53308.6,12474.0,14125.0,8202.9,49.5,34.0,1.77,2023-45-15
fact_GOOGL_2024-Q1,GOOGL,2024-Q1,10-Q,85666.5,19632.8,20303.4,9815.8,62.8,32.2,2.43,2024-15-15
fact_GOOGL_2024-Q2,GOOGL,2024-Q2,10-Q,27137.8,4848.1,4792.8,5800.1,69.4,20.4,2.64,2024-25-15
fact_META_2023-Q1,META,2023-Q1,10-Q,37654.9,9921.0,8552.1,7908.8,63.5,22.4,2.14,2023-15-15
fact_META_2023-Q2,META,2023-Q2,10-Q,40748.3,5010.6,5162.5,4430.4,46.3,32.2,1.1,2023-25-15
fact_META_2023-Q3,META,2023-Q3,10-Q,61569.7,15821.1,19009.8,5751.8,44.2,33.5,3.28,2023-35-15
fact_META_2023-Q4,META,2023-Q4,10-K,23995.6,3170.9,3359.2,3675.6,59.8,21.9,1.26,2023-45-15
fact_META_2024-Q1,META,2024-Q1,10-Q,57464.6,14772.2,14929.1,11030.4,52.8,33.2,1.37,2024-15-15
fact_META_2024-Q2,META,2024-Q2,10-Q,71341.9,16958.4,18921.2,15027.0,52.5,29.0,3.11,2024-25-15
fact_TSLA_2023-Q1,TSLA,2023-Q1,10-Q,71442.5,18666.5,18567.3,10359.3,61.4,22.9,2.46,2023-15-15
fact_TSLA_2023-Q2,TSLA,2023-Q2,10-Q,59142.3,14320.2,15522.1,9449.7,58.6,35.3,1.9,2023-25-15
fact_TSLA_2023-Q3,TSLA,2023-Q3,10-Q,84339.7,20536.9,22336.6,14249.1,59.3,20.4,1.8,2023-35-15
fact_TSLA_2023-Q4,TSLA,2023-Q4,10-K,75899.5,17500.8,20409.5,14013.9,60.9,23.4,2.2,2023-45-15
fact_TSLA_2024-Q1,TSLA,2024-Q1,10-Q,79090.5,19741.0,21042.1,15606.8,59.6,23.9,2.08,2024-15-15
fact_TSLA_2024-Q2,TSLA,2024-Q2,10-Q,41810.4,9874.4,11727.9,9109.4,52.2,26.8,0.9,2024-25-15
