district_number,district_name,station_address
1,Central,1718 S State St
2,Wentworth,5101 S Wentworth Ave
3,Grand Crossing,7040 S Cottage Grove Ave
4,South Chicago,2255 E 103rd St
5,Calumet,727 E 111th St
6,Gresham,7808 S Halsted St
7,Englewood,1438 W 63rd St
8,Chicago Lawn,3420 W 63rd St
9,Deering,3120 S Halsted St
10,Ogden,3315 W Ogden Ave
11,Harrison,3151 W Harrison St
12,Near West,1412 S Blue Island Ave
14,Shakespeare,2150 N California Ave
15,Austin,5701 W Madison St
16,Jefferson Park,5151 N Milwaukee Ave
17,Albany Park,4650 N Pulaski Rd
18,Near North,1160 N Larrabee St
19,Town Hall,850 W Addison St
20,Lincoln,5400 N Lincoln Ave
22,Morgan Park,1900 W Monterey Ave
24,Rogers Park,6464 N Clark St
25,Grand Central,5555 W Grand Ave
