trip_id,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,trip_distance_miles,pickup_location_id,dropoff_location_id,rate_code_id,payment_type,fare_amount,extra_surcharge,mta_tax,tip_amount,tolls_amount,congestion_surcharge,total_amount,trip_duration_minutes,pickup_hour,pickup_day_of_week,pickup_date,pickup_year_month
trip_0000001,2,2024-05-18 05:43:00,2024-05-18 06:07:59,2,8.83,33,230,1,Credit Card,39.78,1.0,0.5,5.97,0.0,2.75,50.0,25.0,5,Saturday,2024-05-18,2024-05
trip_0000002,1,2024-06-02 18:48:00,2024-06-02 19:05:58,1,5.04,141,79,1,Credit Card,25.85,2.5,0.5,5.17,0.0,2.75,36.77,18.0,18,Sunday,2024-06-02,2024-06
trip_0000003,2,2024-03-26 14:38:00,2024-03-26 14:52:13,3,5.34,164,162,1,Credit Card,24.79,1.0,0.5,3.72,0.0,2.75,32.76,14.2,14,Tuesday,2024-03-26,2024-03
trip_0000004,2,2024-04-27 04:08:00,2024-04-27 04:22:15,1,6.09,100,80,1,Credit Card,26.88,1.0,0.5,5.38,0.0,2.75,36.51,14.3,4,Saturday,2024-04-27,2024-04
trip_0000005,1,2024-06-16 02:00:00,2024-06-16 02:11:13,1,2.13,236,255,1,Credit Card,14.47,1.0,0.5,2.17,0.0,2.75,20.89,11.2,2,Sunday,2024-06-16,2024-06
trip_0000006,1,2024-06-01 19:21:00,2024-06-01 19:38:15,1,4.64,141,143,1,Cash,24.39,2.5,0.5,3.66,0.0,2.75,33.8,17.3,19,Saturday,2024-06-01,2024-06
trip_0000007,1,2024-03-22 22:43:00,2024-03-22 23:08:31,2,19.3,138,145,2,Credit Card,68.84,1.0,0.5,0.0,6.55,2.75,79.64,25.5,22,Friday,2024-03-22,2024-03
trip_0000008,2,2024-03-19 15:11:00,2024-03-19 15:18:40,5,2.65,143,186,1,Credit Card,14.13,1.0,0.5,2.12,0.0,2.75,20.5,7.7,15,Tuesday,2024-03-19,2024-03
trip_0000009,1,2024-02-09 17:00:00,2024-02-09 17:19:00,4,5.39,79,7,1,Cash,27.33,2.5,0.5,4.1,0.0,2.75,37.18,19.0,17,Friday,2024-02-09,2024-02
trip_0000010,1,2024-05-07 05:20:00,2024-05-07 05:54:27,6,20.54,255,138,2,Cash,76.71,1.0,0.5,15.34,6.55,2.75,102.85,34.5,5,Tuesday,2024-05-07,2024-05
trip_0000011,1,2024-01-06 21:46:00,2024-01-06 22:09:04,1,15.63,1,48,1,Credit Card,57.52,1.0,0.5,8.63,0.0,2.75,70.4,23.1,21,Saturday,2024-01-06,2024-01
trip_0000012,1,2024-05-03 16:23:00,2024-05-03 16:43:05,3,8.66,90,80,1,Credit Card,36.86,2.5,0.5,5.53,0.0,2.75,48.14,20.1,16,Friday,2024-05-03,2024-05
trip_0000013,2,2024-05-18 07:23:00,2024-05-18 07:44:21,1,6.93,142,163,1,Credit Card,32.74,1.0,0.5,6.55,0.0,2.75,43.54,21.4,7,Saturday,2024-05-18,2024-05
trip_0000014,1,2024-04-19 04:24:00,2024-04-19 04:41:21,1,3.61,256,100,1,Credit Card,21.61,1.0,0.5,3.24,0.0,2.75,29.1,17.4,4,Friday,2024-04-19,2024-04
trip_0000015,1,2024-03-29 15:01:00,2024-03-29 15:20:41,1,4.91,186,61,1,Credit Card,26.35,1.0,0.5,5.27,0.0,2.75,35.87,19.7,15,Friday,2024-03-29,2024-03
trip_0000016,1,2024-05-16 03:30:00,2024-05-16 03:42:50,2,19.57,132,145,2,Credit Card,63.24,1.0,0.5,12.65,6.55,2.75,86.69,12.8,3,Thursday,2024-05-16,2024-05
trip_0000017,2,2024-02-11 16:11:00,2024-02-11 16:20:02,2,2.35,256,33,1,Credit Card,13.98,2.5,0.5,3.5,0.0,2.75,23.23,9.0,16,Sunday,2024-02-11,2024-02
trip_0000018,2,2024-02-02 15:03:00,2024-02-02 15:21:44,1,7.5,145,163,1,Credit Card,32.99,1.0,0.5,8.25,0.0,2.75,45.49,18.7,15,Friday,2024-02-02,2024-02
trip_0000019,2,2024-05-02 18:53:00,2024-05-02 19:06:55,1,21.89,132,236,2,Credit Card,70.16,2.5,0.5,14.03,6.55,2.75,96.49,13.9,18,Thursday,2024-05-02,2024-05
trip_0000020,1,2024-05-08 06:06:00,2024-05-08 06:15:58,1,3.39,186,230,1,Cash,17.31,1.0,0.5,3.46,0.0,2.75,25.02,10.0,6,Wednesday,2024-05-08,2024-05
trip_0000021,2,2024-06-14 18:20:00,2024-06-14 18:33:10,1,3.78,140,234,1,Credit Card,19.98,2.5,0.5,3.0,0.0,2.75,28.73,13.2,18,Friday,2024-06-14,2024-06
trip_0000022,2,2024-06-01 11:14:00,2024-06-01 11:20:45,1,2.76,142,255,1,Credit Card,13.97,1.0,0.5,0.0,0.0,2.75,18.22,6.8,11,Saturday,2024-06-01,2024-06
trip_0000023,2,2024-06-23 09:47:00,2024-06-23 10:22:09,1,9.26,33,90,1,Credit Card,46.04,1.0,0.5,11.51,0.0,2.75,61.8,35.2,9,Sunday,2024-06-23,2024-06
trip_0000024,1,2024-06-20 23:55:00,2024-06-21 00:02:37,1,1.6,236,231,1,Credit Card,11.21,1.0,0.5,2.24,0.0,2.75,17.7,7.6,23,Thursday,2024-06-20,2024-06
trip_0000025,2,2024-04-18 17:22:00,2024-04-18 17:40:42,1,16.56,1,141,1,Credit Card,57.89,2.5,0.5,11.58,0.0,2.75,75.22,18.7,17,Thursday,2024-04-18,2024-04
trip_0000026,2,2024-01-04 18:22:00,2024-01-04 18:45:39,2,11.7,138,61,2,Credit Card,47.0,2.5,0.5,7.05,6.55,2.75,66.35,23.7,18,Thursday,2024-01-04,2024-01
trip_0000027,1,2024-01-26 01:40:00,2024-01-26 01:50:09,1,17.68,132,256,2,Credit Card,56.7,1.0,0.5,8.51,6.55,2.75,76.01,10.2,1,Friday,2024-01-26,2024-01
trip_0000028,2,2024-04-18 12:38:00,2024-04-18 12:49:00,1,2.97,18,145,1,No Charge,16.67,1.0,0.5,3.33,0.0,2.75,24.25,11.0,12,Thursday,2024-04-18,2024-04
trip_0000029,1,2024-06-27 14:49:00,2024-06-27 14:58:58,2,3.55,186,162,1,Cash,17.75,1.0,0.5,4.44,0.0,2.75,26.44,10.0,14,Thursday,2024-06-27,2024-06
trip_0000030,2,2024-03-18 05:25:00,2024-03-18 05:48:09,2,10.33,193,161,1,Credit Card,42.99,1.0,0.5,8.6,0.0,2.75,55.84,23.2,5,Monday,2024-03-18,2024-03
trip_0000031,2,2024-05-04 02:44:00,2024-05-04 02:53:25,1,2.19,255,80,1,Cash,13.74,1.0,0.5,2.75,0.0,2.75,20.74,9.4,2,Saturday,2024-05-04,2024-05
trip_0000032,1,2024-01-21 06:33:00,2024-01-21 06:53:06,1,8.55,107,186,1,Credit Card,36.57,1.0,0.5,7.31,0.0,2.75,48.13,20.1,6,Sunday,2024-01-21,2024-01
trip_0000033,2,2024-05-25 21:02:00,2024-05-25 21:08:42,1,2.64,140,163,1,Credit Card,13.62,1.0,0.5,0.0,0.0,2.75,17.87,6.7,21,Saturday,2024-05-25,2024-05
trip_0000034,1,2024-03-05 04:45:00,2024-03-05 05:09:06,1,18.77,138,231,2,Credit Card,66.67,1.0,0.5,16.67,6.55,2.75,94.14,24.1,4,Tuesday,2024-03-05,2024-03
trip_0000035,2,2024-02-03 02:41:00,2024-02-03 03:07:56,2,6.28,170,239,1,Credit Card,33.74,1.0,0.5,6.75,0.0,2.75,44.74,26.9,2,Saturday,2024-02-03,2024-02
trip_0000036,2,2024-02-02 19:37:00,2024-02-02 20:19:20,1,17.41,107,170,1,Credit Card,72.05,2.5,0.5,18.01,0.0,2.75,95.81,42.3,19,Friday,2024-02-02,2024-02
trip_0000037,2,2024-05-03 09:28:00,2024-05-03 09:35:33,2,3.37,162,161,1,Credit Card,16.04,1.0,0.5,3.21,0.0,2.75,23.5,7.6,9,Friday,2024-05-03,2024-05
trip_0000038,2,2024-02-25 15:07:00,2024-02-25 15:17:18,2,12.8,1,256,1,Cash,43.36,1.0,0.5,6.5,0.0,2.75,54.11,10.3,15,Sunday,2024-02-25,2024-02
trip_0000039,1,2024-05-24 14:42:00,2024-05-24 15:01:35,1,16.56,142,1,1,Credit Card,58.33,1.0,0.5,0.0,0.0,2.75,62.58,19.6,14,Friday,2024-05-24,2024-05
trip_0000040,2,2024-03-23 22:44:00,2024-03-23 22:56:35,2,3.36,164,249,1,Cash,18.54,1.0,0.5,2.78,0.0,2.75,25.57,12.6,22,Saturday,2024-03-23,2024-03
trip_0000041,2,2024-01-03 23:08:00,2024-01-03 23:32:11,5,4.55,141,48,1,Credit Card,27.61,1.0,0.5,0.0,0.0,2.75,31.86,24.2,23,Wednesday,2024-01-03,2024-01
trip_0000042,2,2024-04-25 18:48:00,2024-04-25 19:05:33,1,5.65,162,145,1,Credit Card,27.31,2.5,0.5,5.46,0.0,2.75,38.52,17.6,18,Thursday,2024-04-25,2024-04
trip_0000043,1,2024-05-05 10:55:00,2024-05-05 11:12:08,1,3.71,7,249,1,Credit Card,21.77,1.0,0.5,5.44,0.0,2.75,31.46,17.1,10,Sunday,2024-05-05,2024-05
trip_0000044,2,2024-03-07 10:10:00,2024-03-07 10:21:39,1,3.94,256,68,1,Credit Card,19.66,1.0,0.5,3.93,0.0,2.75,27.84,11.7,10,Thursday,2024-03-07,2024-03
trip_0000045,2,2024-04-28 10:38:00,2024-04-28 10:59:53,2,7.02,237,68,1,Credit Card,33.25,1.0,0.5,6.65,0.0,2.75,44.15,21.9,10,Sunday,2024-04-28,2024-04
