record_id,fiscal_year,fiscal_quarter,period_label,business_unit_code,business_unit,department_code,department,revenue_usd,cogs_usd,gross_profit_usd,gross_margin_pct,rd_expense_usd,sales_marketing_expense_usd,ga_expense_usd,total_opex_usd,operating_income_usd,ebitda_usd,ebitda_margin_pct,net_income_usd,capex_usd,headcount,budget_allocated_usd,budget_variance_pct,revenue_growth_yoy_pct
FIN-2023-00001,2023,Q1,2023-Q1,ECP,Enterprise Cloud Platform,ENG,Core Engineering & Software R&D,1966110.9,479693.67,1486417.23,75.6,3079709.73,842363.43,1196946.94,5119020.1,-3632602.87,-2912682.19,-148.14,-2869756.27,1599823.74,268,4989570.38,2.59,21.44
FIN-2023-00002,2023,Q1,2023-Q1,ECP,Enterprise Cloud Platform,SALES,Global Enterprise Sales & Field Ops,12815589.26,3571926.32,9243662.94,72.13,2694389.31,393657.09,200997.67,3289044.07,5954618.87,6233576.35,48.64,4704148.91,619905.52,61,3581923.71,-8.18,25.89
FIN-2023-00003,2023,Q1,2023-Q1,ECP,Enterprise Cloud Platform,MKTG,Global Growth & Brand Marketing,2650403.33,817925.72,1832477.61,69.14,501660.73,317375.26,673568.89,1492604.88,339872.73,980684.69,37.0,268499.46,1424026.57,330,1528226.45,-2.33,15.06
FIN-2023-00004,2023,Q1,2023-Q1,ECP,Enterprise Cloud Platform,CSM,Customer Success & Technical Account Mgmt,8334864.66,2690441.5,5644423.16,67.72,1873392.75,481578.4,906302.55,3261273.7,2383149.46,2672869.37,32.07,1882688.07,643822.02,246,3309288.46,-1.45,35.63
FIN-2023-00005,2023,Q1,2023-Q1,ECP,Enterprise Cloud Platform,OPS,Cloud Infrastructure & Network Operations,5491898.97,1755664.06,3736234.91,68.03,2920187.97,864942.87,563218.92,4348349.76,-612114.85,140589.54,2.56,-483570.73,1672676.42,137,4618268.28,-5.84,10.46
FIN-2023-00006,2023,Q1,2023-Q1,ECP,Enterprise Cloud Platform,GA,Corporate General & Administrative,4288316.61,1094447.11,3193869.5,74.48,1717763.31,803661.94,841491.08,3362916.33,-169046.83,503691.79,11.75,-133547.0,1494974.71,352,3152687.05,6.67,10.32
FIN-2023-00007,2023,Q1,2023-Q1,ECP,Enterprise Cloud Platform,LEGAL,"Legal, Risk & Compliance",3862551.05,1109948.61,2752602.44,71.26,1607997.02,395268.56,557890.02,2561155.6,191446.84,364308.0,9.43,151243.0,384135.92,330,2397678.11,6.82,25.53
FIN-2023-00008,2023,Q1,2023-Q1,ECP,Enterprise Cloud Platform,PROD,Product Strategy & User Experience,2987579.08,1013414.67,1974164.41,66.08,1518049.59,344523.16,1141824.06,3004396.81,-1030232.4,-313524.38,-10.49,-813883.6,1592684.49,365,3304965.69,-9.09,8.5
FIN-2023-00009,2023,Q1,2023-Q1,AIDS,Artificial Intelligence & Data Solutions,ENG,Core Engineering & Software R&D,356476.57,66444.05,290032.52,81.36,425958.02,380037.05,704773.34,1510768.41,-1220735.89,-1059424.87,-297.19,-964381.35,358468.94,424,1598107.96,-5.47,13.59
FIN-2023-00010,2023,Q1,2023-Q1,AIDS,Artificial Intelligence & Data Solutions,SALES,Global Enterprise Sales & Field Ops,17281631.33,3467984.98,13813646.35,79.93,2089227.94,2040966.24,1024444.82,5154639.0,8659007.35,9130927.58,52.84,6840615.81,1048711.63,401,5515423.94,-6.54,25.18
FIN-2023-00011,2023,Q1,2023-Q1,AIDS,Artificial Intelligence & Data Solutions,MKTG,Global Growth & Brand Marketing,11528063.85,3636851.86,7891211.99,68.45,857056.92,629270.85,579249.28,2065577.05,5825634.94,6358636.53,55.16,4602251.6,1184447.97,206,2191179.56,-5.73,18.1
FIN-2023-00012,2023,Q1,2023-Q1,AIDS,Artificial Intelligence & Data Solutions,CSM,Customer Success & Technical Account Mgmt,7284621.31,1355504.42,5929116.89,81.39,2150841.15,2003466.71,888595.23,5042903.09,886213.8,1383977.78,19.0,700108.9,1106142.18,156,4788051.61,5.32,18.16
FIN-2023-00013,2023,Q1,2023-Q1,AIDS,Artificial Intelligence & Data Solutions,OPS,Cloud Infrastructure & Network Operations,11766283.45,2369520.82,9396762.63,79.86,866263.32,2409379.2,806095.51,4081738.03,5315024.6,6000369.71,51.0,4198869.43,1522989.13,360,3776394.59,8.09,31.07
FIN-2023-00014,2023,Q1,2023-Q1,AIDS,Artificial Intelligence & Data Solutions,GA,Corporate General & Administrative,6350982.59,2084871.67,4266110.92,67.17,1362208.43,775623.2,533578.04,2671409.67,1594701.25,2350126.06,37.0,1259813.99,1678721.8,418,2729999.57,-2.15,32.12
FIN-2023-00015,2023,Q1,2023-Q1,AIDS,Artificial Intelligence & Data Solutions,LEGAL,"Legal, Risk & Compliance",1959556.54,366054.8,1593501.74,81.32,2595024.4,1299014.57,1002969.87,4897008.84,-3303507.1,-3024392.01,-154.34,-2609770.61,620255.75,70,4918429.58,-0.44,32.83
FIN-2023-00016,2023,Q1,2023-Q1,AIDS,Artificial Intelligence & Data Solutions,PROD,Product Strategy & User Experience,903156.95,212559.3,690597.65,76.46,1978461.66,972933.8,837934.65,3789330.11,-3098732.46,-2426045.72,-268.62,-2447998.64,1494859.42,294,4166025.28,-9.04,21.7
FIN-2023-00017,2023,Q1,2023-Q1,CZTI,Cybersecurity & Zero-Trust Infrastructure,ENG,Core Engineering & Software R&D,1089353.68,315873.75,773479.93,71.0,2338522.11,1226786.05,915127.54,4480435.7,-3706955.77,-3284198.26,-301.48,-2928495.06,939461.13,168,4617689.82,-2.97,13.19
FIN-2023-00018,2023,Q1,2023-Q1,CZTI,Cybersecurity & Zero-Trust Infrastructure,SALES,Global Enterprise Sales & Field Ops,15572388.52,3860637.36,11711751.16,75.21,2769586.23,440827.95,955991.83,4166406.01,7545345.15,8102125.25,52.03,5960822.67,1237289.11,425,4106745.94,1.45,9.31
FIN-2023-00019,2023,Q1,2023-Q1,CZTI,Cybersecurity & Zero-Trust Infrastructure,MKTG,Global Growth & Brand Marketing,3833396.11,882527.63,2950868.48,76.98,2849056.31,330524.0,446063.36,3625643.67,-674775.19,-617273.54,-16.1,-533072.4,127781.45,73,4045107.18,-10.37,26.12
FIN-2023-00020,2023,Q1,2023-Q1,CZTI,Cybersecurity & Zero-Trust Infrastructure,CSM,Customer Success & Technical Account Mgmt,9596601.16,2683207.22,6913393.94,72.04,653741.5,1700848.6,703568.45,3058158.55,3855235.39,4222175.26,44.0,3045635.96,815421.93,67,2886699.06,5.94,32.46
FIN-2023-00021,2023,Q1,2023-Q1,CZTI,Cybersecurity & Zero-Trust Infrastructure,OPS,Cloud Infrastructure & Network Operations,10495524.09,2978956.83,7516567.26,71.62,1322148.89,378849.36,590958.58,2291956.83,5224610.43,5344030.3,50.92,4127442.24,265377.48,70,2388079.2,-4.03,28.98
FIN-2023-00022,2023,Q1,2023-Q1,CZTI,Cybersecurity & Zero-Trust Infrastructure,GA,Corporate General & Administrative,4755545.97,1096224.61,3659321.36,76.95,874336.38,1825335.19,491149.72,3190821.29,468500.07,618464.64,13.01,370115.06,333254.59,184,3222596.62,-0.99,25.36
