customer_id,customer_unique_id,customer_zip_code_prefix,customer_city,customer_state
c_000001,cu_000111,45631,sao paulo,SP
c_000002,cu_000508,41348,goiania,GO
c_000003,cu_000295,74732,curitiba,PR
c_000004,cu_000904,11177,belo horizonte,MG
c_000005,cu_000974,14760,sao paulo,SP
c_000006,cu_000632,42779,sao paulo,SP
c_000007,cu_001051,31636,sao paulo,SP
c_000008,cu_000733,91889,recife,PE
c_000009,cu_000321,63551,belo horizonte,MG
c_000010,cu_000913,21556,porto alegre,RS
c_000011,cu_000437,37598,sao paulo,SP
c_000012,cu_000781,21563,goiania,GO
c_000013,cu_001077,56819,florianopolis,SC
c_000014,cu_000726,83770,sao paulo,SP
c_000015,cu_000031,36966,sao paulo,SP
c_000016,cu_000337,91709,sao paulo,SP
c_000017,cu_000183,69889,sao paulo,SP
c_000018,cu_001047,36987,rio de janeiro,RJ
c_000019,cu_000544,88714,rio de janeiro,RJ
c_000020,cu_001098,68348,sao paulo,SP
c_000021,cu_001034,34596,belo horizonte,MG
c_000022,cu_000660,43174,sao paulo,SP
c_000023,cu_000160,74106,sao paulo,SP
c_000024,cu_001038,79967,sao paulo,SP
c_000025,cu_000412,69182,rio de janeiro,RJ
c_000026,cu_001012,97163,salvador,BA
c_000027,cu_000053,49310,sao paulo,SP
c_000028,cu_000408,66088,rio de janeiro,RJ
c_000029,cu_000847,18906,belo horizonte,MG
c_000030,cu_001046,46914,sao paulo,SP
c_000031,cu_001054,55379,belo horizonte,MG
c_000032,cu_000703,88612,sao paulo,SP
c_000033,cu_000260,47650,sao paulo,SP
c_000034,cu_001083,56881,brasilia,DF
c_000035,cu_000776,56413,goiania,GO
c_000036,cu_001036,16012,salvador,BA
c_000037,cu_000850,60115,sao paulo,SP
c_000038,cu_000354,17151,sao paulo,SP
c_000039,cu_001099,67716,porto alegre,RS
c_000040,cu_000873,46378,rio de janeiro,RJ
c_000041,cu_000991,52652,sao paulo,SP
c_000042,cu_001018,82430,rio de janeiro,RJ
c_000043,cu_001178,23467,sao paulo,SP
c_000044,cu_001120,41010,fortaleza,CE
c_000045,cu_000294,64691,sao paulo,SP
c_000046,cu_000209,74157,belo horizonte,MG
c_000047,cu_001112,22289,sao paulo,SP
c_000048,cu_000818,54976,rio de janeiro,RJ
c_000049,cu_000390,53596,rio de janeiro,RJ
c_000050,cu_000325,33171,sao paulo,SP
c_000051,cu_000940,96365,goiania,GO
c_000052,cu_000889,54139,curitiba,PR
c_000053,cu_001181,58713,brasilia,DF
c_000054,cu_000668,39734,fortaleza,CE
c_000055,cu_000633,82588,belo horizonte,MG
c_000056,cu_000577,73646,brasilia,DF
c_000057,cu_000137,13654,sao paulo,SP
c_000058,cu_000428,99022,sao paulo,SP
c_000059,cu_000612,28743,sao paulo,SP
c_000060,cu_000911,58368,sao paulo,SP
c_000061,cu_000819,84172,sao paulo,SP
c_000062,cu_000141,16441,sao paulo,SP
c_000063,cu_001107,34611,florianopolis,SC
c_000064,cu_000177,22149,sao paulo,SP
c_000065,cu_000198,69189,sao paulo,SP
c_000066,cu_000624,31675,rio de janeiro,RJ
c_000067,cu_000691,81031,sao paulo,SP
c_000068,cu_000401,52668,salvador,BA
c_000069,cu_000471,23673,sao paulo,SP
c_000070,cu_000218,86666,vitoria,ES
c_000071,cu_000929,98204,curitiba,PR
c_000072,cu_000632,90758,sao paulo,SP
c_000073,cu_000951,75429,sao paulo,SP
c_000074,cu_000906,33669,salvador,BA
c_000075,cu_000175,44068,porto alegre,RS
c_000076,cu_000023,98789,porto alegre,RS
c_000077,cu_000235,19435,curitiba,PR
c_000078,cu_001037,62249,sao paulo,SP
c_000079,cu_001125,47384,sao paulo,SP
c_000080,cu_000929,91929,sao paulo,SP
c_000081,cu_000523,86153,recife,PE
c_000082,cu_000431,85388,belo horizonte,MG
c_000083,cu_000793,41401,sao paulo,SP
c_000084,cu_000533,81831,sao paulo,SP
c_000085,cu_000979,44084,sao paulo,SP
c_000086,cu_000810,65826,sao paulo,SP
c_000087,cu_000913,46451,porto alegre,RS
c_000088,cu_001125,17227,belo horizonte,MG
c_000089,cu_000871,41910,recife,PE
c_000090,cu_000540,46041,rio de janeiro,RJ
c_000091,cu_001024,98920,sao paulo,SP
c_000092,cu_000227,75681,porto alegre,RS
c_000093,cu_000873,91571,curitiba,PR
c_000094,cu_000892,75481,belo horizonte,MG
c_000095,cu_001037,78576,curitiba,PR
c_000096,cu_000210,74174,rio de janeiro,RJ
c_000097,cu_000741,36160,rio de janeiro,RJ
c_000098,cu_000397,27633,rio de janeiro,RJ
c_000099,cu_001124,27014,sao paulo,SP
c_000100,cu_000031,90532,sao paulo,SP
c_000101,cu_000898,59104,sao paulo,SP
c_000102,cu_000649,51621,belo horizonte,MG
c_000103,cu_000329,87231,sao paulo,SP
c_000104,cu_001190,78388,rio de janeiro,RJ
c_000105,cu_000952,26014,fortaleza,CE
c_000106,cu_001124,43755,sao paulo,SP
c_000107,cu_000621,50390,sao paulo,SP
c_000108,cu_001197,33711,curitiba,PR
c_000109,cu_000162,67993,sao paulo,SP
c_000110,cu_000776,84696,sao paulo,SP
c_000111,cu_000274,37213,sao paulo,SP
c_000112,cu_001027,67784,sao paulo,SP
c_000113,cu_001052,17421,brasilia,DF
c_000114,cu_000326,96936,salvador,BA
c_000115,cu_000940,27727,belo horizonte,MG
c_000116,cu_001173,14358,recife,PE
c_000117,cu_000540,75108,salvador,BA
c_000118,cu_000488,42117,sao paulo,SP
c_000119,cu_000822,98700,fortaleza,CE
c_000120,cu_001089,41910,rio de janeiro,RJ
c_000121,cu_000356,65754,salvador,BA
c_000122,cu_000235,72438,fortaleza,CE
c_000123,cu_000227,39371,sao paulo,SP
c_000124,cu_000049,61501,sao paulo,SP
c_000125,cu_000118,70946,sao paulo,SP
c_000126,cu_000054,48467,rio de janeiro,RJ
c_000127,cu_000565,27625,salvador,BA
c_000128,cu_001068,43893,recife,PE
c_000129,cu_000053,86329,sao paulo,SP
c_000130,cu_000558,41007,rio de janeiro,RJ
c_000131,cu_001126,49532,sao paulo,SP
c_000132,cu_000868,64253,sao paulo,SP
c_000133,cu_000398,22323,sao paulo,SP
c_000134,cu_001162,83379,sao paulo,SP
c_000135,cu_000675,24210,brasilia,DF
c_000136,cu_000387,26456,sao paulo,SP
c_000137,cu_000111,41367,rio de janeiro,RJ
c_000138,cu_000614,64624,porto alegre,RS
c_000139,cu_000017,20106,sao paulo,SP
c_000140,cu_000884,78008,goiania,GO
c_000141,cu_000541,82240,goiania,GO
c_000142,cu_000171,74315,sao paulo,SP
c_000143,cu_000409,79249,rio de janeiro,RJ
c_000144,cu_000740,80587,sao paulo,SP
c_000145,cu_000858,20756,sao paulo,SP
c_000146,cu_000230,78011,sao paulo,SP
c_000147,cu_000119,46378,belo horizonte,MG
c_000148,cu_001180,14255,rio de janeiro,RJ
c_000149,cu_000784,24484,sao paulo,SP
c_000150,cu_000465,66549,sao paulo,SP
c_000151,cu_000104,44503,fortaleza,CE
c_000152,cu_000698,83794,sao paulo,SP
c_000153,cu_000175,55113,sao paulo,SP
c_000154,cu_000745,84069,rio de janeiro,RJ
c_000155,cu_001158,15249,vitoria,ES
c_000156,cu_000665,29201,sao paulo,SP
c_000157,cu_000033,68576,porto alegre,RS
c_000158,cu_000055,19686,curitiba,PR
c_000159,cu_000519,63363,sao paulo,SP
c_000160,cu_000756,10661,porto alegre,RS
c_000161,cu_000012,54843,sao paulo,SP
c_000162,cu_000720,70963,belo horizonte,MG
c_000163,cu_000555,52828,belo horizonte,MG
c_000164,cu_000373,58604,rio de janeiro,RJ
c_000165,cu_000484,20526,sao paulo,SP
c_000166,cu_000973,78910,florianopolis,SC
c_000167,cu_000623,35592,sao paulo,SP
c_000168,cu_000307,38982,sao paulo,SP
c_000169,cu_000457,10207,sao paulo,SP
c_000170,cu_000160,98733,belo horizonte,MG
c_000171,cu_000331,78619,porto alegre,RS
c_000172,cu_000776,39328,sao paulo,SP
c_000173,cu_000225,56479,rio de janeiro,RJ
c_000174,cu_000983,30103,sao paulo,SP
c_000175,cu_000729,49891,belo horizonte,MG
c_000176,cu_001069,20754,sao paulo,SP
c_000177,cu_001083,91437,porto alegre,RS
