review_id,order_id,review_score,review_creation_date
rev_000001,ord_000001,3,2017-03-12
rev_000002,ord_000002,5,2018-08-13
rev_000003,ord_000003,5,2017-05-10
rev_000004,ord_000004,4,2017-02-12
rev_000005,ord_000005,5,2018-06-04
rev_000006,ord_000006,5,2017-01-13
rev_000007,ord_000007,4,2018-06-19
rev_000008,ord_000008,4,2017-10-29
rev_000009,ord_000009,5,2018-06-11
rev_000010,ord_000010,3,2018-07-27
rev_000011,ord_000011,5,2017-04-25
rev_000012,ord_000012,2,2018-04-05
rev_000013,ord_000013,4,2018-05-20
rev_000014,ord_000014,5,2017-11-04
rev_000015,ord_000015,5,2017-11-21
rev_000016,ord_000016,4,2018-08-02
rev_000017,ord_000017,2,2017-06-24
rev_000018,ord_000018,5,2018-05-29
rev_000019,ord_000019,5,2017-06-21
rev_000020,ord_000020,5,2018-05-17
rev_000021,ord_000021,5,2017-11-30
rev_000022,ord_000022,4,2017-10-11
rev_000023,ord_000023,5,2018-04-20
rev_000024,ord_000024,4,2017-02-23
rev_000025,ord_000025,2,2018-04-03
rev_000026,ord_000026,1,2018-08-02
rev_000027,ord_000027,5,2018-02-24
rev_000028,ord_000028,4,2018-02-13
rev_000029,ord_000029,1,2017-10-31
rev_000030,ord_000030,5,2018-07-13
rev_000031,ord_000031,5,2017-08-10
rev_000032,ord_000032,1,2018-06-17
rev_000033,ord_000033,5,2017-06-07
rev_000034,ord_000034,1,2017-12-14
rev_000035,ord_000035,5,2017-06-08
rev_000036,ord_000036,5,2017-08-23
rev_000037,ord_000037,5,2018-02-09
rev_000038,ord_000038,5,2017-09-14
rev_000039,ord_000039,5,2018-08-12
rev_000040,ord_000040,5,2018-08-20
rev_000041,ord_000041,5,2018-07-12
rev_000042,ord_000042,5,2017-02-16
rev_000043,ord_000043,5,2017-08-01
rev_000044,ord_000044,3,2018-04-24
rev_000045,ord_000045,5,2018-05-02
rev_000046,ord_000046,3,2018-07-25
rev_000047,ord_000047,3,2018-07-20
rev_000048,ord_000048,5,2017-12-08
rev_000049,ord_000049,5,2018-06-08
rev_000050,ord_000050,1,2018-05-18
rev_000051,ord_000051,4,2017-01-06
rev_000052,ord_000052,5,2017-05-24
rev_000053,ord_000053,4,2017-09-18
rev_000054,ord_000054,5,2018-08-08
rev_000055,ord_000055,5,2017-08-20
rev_000056,ord_000056,5,2017-09-27
rev_000057,ord_000057,5,2018-03-23
rev_000058,ord_000058,1,2017-08-10
rev_000059,ord_000059,2,2017-02-21
rev_000060,ord_000060,4,2017-04-26
rev_000061,ord_000061,5,2018-06-22
rev_000062,ord_000062,5,2018-07-19
rev_000063,ord_000063,5,2018-06-25
rev_000064,ord_000064,5,2017-01-19
rev_000065,ord_000065,5,2018-01-27
rev_000066,ord_000066,5,2018-02-23
rev_000067,ord_000067,5,2017-11-05
rev_000068,ord_000068,1,2017-07-05
rev_000069,ord_000069,1,2017-09-18
rev_000070,ord_000070,5,2018-06-12
rev_000071,ord_000071,4,2017-09-30
rev_000072,ord_000072,5,2017-06-09
rev_000073,ord_000073,5,2017-08-12
rev_000074,ord_000074,2,2017-09-13
rev_000075,ord_000075,4,2017-06-29
rev_000076,ord_000076,5,2017-01-20
rev_000077,ord_000077,5,2018-04-13
rev_000078,ord_000078,1,2017-07-29
rev_000079,ord_000079,5,2018-05-28
rev_000080,ord_000080,5,2017-02-27
rev_000081,ord_000081,1,2017-04-03
