order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date,is_late_delivery,delivery_delay_days,order_year,order_month,order_year_month
ord_000001,c_001359,delivered,2017-03-12 00:00:00,2017-03-12 00:00:00,2017-03-15 00:00:00,2017-04-02 00:00:00,2017-03-24 00:00:00,1,9,2017,3,2017-03
ord_000002,c_001312,delivered,2018-08-13 00:00:00,2018-08-13 00:00:00,2018-08-16 00:00:00,2018-08-22 00:00:00,2018-08-30 00:00:00,0,0,2018,8,2018-08
ord_000003,c_000252,delivered,2017-05-10 00:00:00,2017-05-10 00:00:00,2017-05-13 00:00:00,2017-05-18 00:00:00,2017-05-28 00:00:00,0,0,2017,5,2017-05
ord_000004,c_001289,delivered,2017-02-12 00:00:00,2017-02-12 00:00:00,2017-02-13 00:00:00,2017-02-24 00:00:00,2017-03-11 00:00:00,0,0,2017,2,2017-02
ord_000005,c_000271,delivered,2018-06-04 00:00:00,2018-06-04 00:00:00,2018-06-05 00:00:00,2018-06-18 00:00:00,2018-06-29 00:00:00,0,0,2018,6,2018-06
ord_000006,c_000920,delivered,2017-01-13 00:00:00,2017-01-13 00:00:00,2017-01-14 00:00:00,2017-01-22 00:00:00,2017-02-04 00:00:00,0,0,2017,1,2017-01
ord_000007,c_000419,delivered,2018-06-19 00:00:00,2018-06-19 00:00:00,2018-06-22 00:00:00,2018-07-08 00:00:00,2018-07-15 00:00:00,0,0,2018,6,2018-06
ord_000008,c_000795,delivered,2017-10-29 00:00:00,2017-10-29 00:00:00,2017-10-31 00:00:00,2017-11-20 00:00:00,2017-11-13 00:00:00,1,7,2017,10,2017-10
ord_000009,c_001235,delivered,2018-06-11 00:00:00,2018-06-11 00:00:00,2018-06-14 00:00:00,2018-06-25 00:00:00,2018-07-06 00:00:00,0,0,2018,6,2018-06
ord_000010,c_001389,delivered,2018-07-27 00:00:00,2018-07-27 00:00:00,2018-07-29 00:00:00,2018-08-20 00:00:00,2018-08-09 00:00:00,1,11,2018,7,2018-07
ord_000011,c_001100,delivered,2017-04-25 00:00:00,2017-04-25 00:00:00,2017-04-28 00:00:00,2017-05-13 00:00:00,2017-05-22 00:00:00,0,0,2017,4,2017-04
ord_000012,c_001345,delivered,2018-04-05 00:00:00,2018-04-05 00:00:00,2018-04-07 00:00:00,2018-04-17 00:00:00,2018-04-26 00:00:00,0,0,2018,4,2018-04
ord_000013,c_000725,delivered,2018-05-20 00:00:00,2018-05-20 00:00:00,2018-05-23 00:00:00,2018-06-11 00:00:00,2018-06-09 00:00:00,1,2,2018,5,2018-05
ord_000014,c_000433,delivered,2017-11-04 00:00:00,2017-11-04 00:00:00,2017-11-07 00:00:00,2017-11-26 00:00:00,2017-12-01 00:00:00,0,0,2017,11,2017-11
ord_000015,c_000109,delivered,2017-11-21 00:00:00,2017-11-21 00:00:00,2017-11-23 00:00:00,2017-12-03 00:00:00,2017-12-09 00:00:00,0,0,2017,11,2017-11
ord_000016,c_000641,invoiced,2018-08-02 00:00:00,2018-08-02 00:00:00,2018-08-04 00:00:00,,2018-08-29 00:00:00,0,0,2018,8,2018-08
ord_000017,c_001071,delivered,2017-06-24 00:00:00,2017-06-24 00:00:00,2017-06-26 00:00:00,2017-07-07 00:00:00,2017-07-06 00:00:00,1,1,2017,6,2017-06
ord_000018,c_000379,delivered,2018-05-29 00:00:00,2018-05-29 00:00:00,2018-05-31 00:00:00,2018-06-10 00:00:00,2018-06-17 00:00:00,0,0,2018,5,2018-05
ord_000019,c_001120,delivered,2017-06-21 00:00:00,2017-06-21 00:00:00,2017-06-23 00:00:00,2017-07-13 00:00:00,2017-07-17 00:00:00,0,0,2017,6,2017-06
ord_000020,c_000958,delivered,2018-05-17 00:00:00,2018-05-17 00:00:00,2018-05-19 00:00:00,2018-06-04 00:00:00,2018-05-31 00:00:00,1,4,2018,5,2018-05
ord_000021,c_000103,delivered,2017-11-30 00:00:00,2017-11-30 00:00:00,2017-12-02 00:00:00,2017-12-22 00:00:00,2017-12-15 00:00:00,1,7,2017,11,2017-11
ord_000022,c_000892,shipped,2017-10-11 00:00:00,2017-10-11 00:00:00,2017-10-13 00:00:00,,2017-11-03 00:00:00,0,0,2017,10,2017-10
ord_000023,c_000854,delivered,2018-04-20 00:00:00,2018-04-20 00:00:00,2018-04-23 00:00:00,2018-05-03 00:00:00,2018-05-06 00:00:00,0,0,2018,4,2018-04
ord_000024,c_001170,delivered,2017-02-23 00:00:00,2017-02-23 00:00:00,2017-02-25 00:00:00,2017-03-17 00:00:00,2017-03-07 00:00:00,1,10,2017,2,2017-02
ord_000025,c_001051,delivered,2018-04-03 00:00:00,2018-04-03 00:00:00,2018-04-05 00:00:00,2018-04-23 00:00:00,2018-04-29 00:00:00,0,0,2018,4,2018-04
ord_000026,c_000530,delivered,2018-08-02 00:00:00,2018-08-02 00:00:00,2018-08-05 00:00:00,2018-08-25 00:00:00,2018-08-19 00:00:00,1,6,2018,8,2018-08
ord_000027,c_000679,delivered,2018-02-24 00:00:00,2018-02-24 00:00:00,2018-02-27 00:00:00,2018-03-20 00:00:00,2018-03-17 00:00:00,1,3,2018,2,2018-02
ord_000028,c_000989,delivered,2018-02-13 00:00:00,2018-02-13 00:00:00,2018-02-14 00:00:00,2018-02-18 00:00:00,2018-03-02 00:00:00,0,0,2018,2,2018-02
ord_000029,c_001106,delivered,2017-10-31 00:00:00,2017-10-31 00:00:00,2017-11-01 00:00:00,2017-11-22 00:00:00,2017-11-13 00:00:00,1,9,2017,10,2017-10
ord_000030,c_000428,delivered,2018-07-13 00:00:00,2018-07-13 00:00:00,2018-07-15 00:00:00,2018-08-02 00:00:00,2018-08-04 00:00:00,0,0,2018,7,2018-07
ord_000031,c_000822,shipped,2017-08-10 00:00:00,2017-08-10 00:00:00,2017-08-12 00:00:00,,2017-08-31 00:00:00,0,0,2017,8,2017-08
ord_000032,c_001186,delivered,2018-06-17 00:00:00,2018-06-17 00:00:00,2018-06-18 00:00:00,2018-07-07 00:00:00,2018-07-04 00:00:00,1,3,2018,6,2018-06
ord_000033,c_000932,delivered,2017-06-07 00:00:00,2017-06-07 00:00:00,2017-06-08 00:00:00,2017-06-12 00:00:00,2017-06-26 00:00:00,0,0,2017,6,2017-06
ord_000034,c_001426,delivered,2017-12-14 00:00:00,2017-12-14 00:00:00,2017-12-16 00:00:00,2018-01-05 00:00:00,2017-12-31 00:00:00,1,5,2017,12,2017-12
ord_000035,c_001062,delivered,2017-06-08 00:00:00,2017-06-08 00:00:00,2017-06-09 00:00:00,2017-06-12 00:00:00,2017-06-23 00:00:00,0,0,2017,6,2017-06
ord_000036,c_000511,delivered,2017-08-23 00:00:00,2017-08-23 00:00:00,2017-08-25 00:00:00,2017-09-06 00:00:00,2017-09-18 00:00:00,0,0,2017,8,2017-08
ord_000037,c_000393,delivered,2018-02-09 00:00:00,2018-02-09 00:00:00,2018-02-12 00:00:00,2018-02-22 00:00:00,2018-02-24 00:00:00,0,0,2018,2,2018-02
ord_000038,c_000713,delivered,2017-09-14 00:00:00,2017-09-14 00:00:00,2017-09-17 00:00:00,2017-09-22 00:00:00,2017-10-04 00:00:00,0,0,2017,9,2017-09
ord_000039,c_000494,delivered,2018-08-12 00:00:00,2018-08-12 00:00:00,2018-08-13 00:00:00,2018-08-31 00:00:00,2018-09-08 00:00:00,0,0,2018,8,2018-08
ord_000040,c_001224,delivered,2018-08-20 00:00:00,2018-08-20 00:00:00,2018-08-23 00:00:00,2018-08-28 00:00:00,2018-09-06 00:00:00,0,0,2018,8,2018-08
ord_000041,c_001279,delivered,2018-07-12 00:00:00,2018-07-12 00:00:00,2018-07-15 00:00:00,2018-07-27 00:00:00,2018-07-31 00:00:00,0,0,2018,7,2018-07
ord_000042,c_001203,delivered,2017-02-16 00:00:00,2017-02-16 00:00:00,2017-02-19 00:00:00,2017-02-23 00:00:00,2017-03-07 00:00:00,0,0,2017,2,2017-02
ord_000043,c_000547,delivered,2017-08-01 00:00:00,2017-08-01 00:00:00,2017-08-04 00:00:00,2017-08-10 00:00:00,2017-08-19 00:00:00,0,0,2017,8,2017-08
ord_000044,c_000594,delivered,2018-04-24 00:00:00,2018-04-24 00:00:00,2018-04-26 00:00:00,2018-05-16 00:00:00,2018-05-08 00:00:00,1,8,2018,4,2018-04
ord_000045,c_000389,delivered,2018-05-02 00:00:00,2018-05-02 00:00:00,2018-05-04 00:00:00,2018-05-14 00:00:00,2018-05-23 00:00:00,0,0,2018,5,2018-05
ord_000046,c_001422,delivered,2018-07-25 00:00:00,2018-07-25 00:00:00,2018-07-26 00:00:00,2018-08-09 00:00:00,2018-08-06 00:00:00,1,3,2018,7,2018-07
ord_000047,c_000158,delivered,2018-07-20 00:00:00,2018-07-20 00:00:00,2018-07-23 00:00:00,2018-08-07 00:00:00,2018-08-05 00:00:00,1,2,2018,7,2018-07
ord_000048,c_001028,delivered,2017-12-08 00:00:00,2017-12-08 00:00:00,2017-12-11 00:00:00,2017-12-27 00:00:00,2018-01-04 00:00:00,0,0,2017,12,2017-12
ord_000049,c_000167,delivered,2018-06-08 00:00:00,2018-06-08 00:00:00,2018-06-11 00:00:00,2018-06-24 00:00:00,2018-07-02 00:00:00,0,0,2018,6,2018-06
ord_000050,c_001492,delivered,2018-05-18 00:00:00,2018-05-18 00:00:00,2018-05-19 00:00:00,2018-06-11 00:00:00,2018-06-13 00:00:00,0,0,2018,5,2018-05
ord_000051,c_000960,delivered,2017-01-06 00:00:00,2017-01-06 00:00:00,2017-01-08 00:00:00,2017-01-16 00:00:00,2017-01-27 00:00:00,0,0,2017,1,2017-01
ord_000052,c_000409,delivered,2017-05-24 00:00:00,2017-05-24 00:00:00,2017-05-27 00:00:00,2017-06-16 00:00:00,2017-06-14 00:00:00,1,2,2017,5,2017-05
ord_000053,c_001436,delivered,2017-09-18 00:00:00,2017-09-18 00:00:00,2017-09-20 00:00:00,2017-09-25 00:00:00,2017-10-14 00:00:00,0,0,2017,9,2017-09
ord_000054,c_001228,delivered,2018-08-08 00:00:00,2018-08-08 00:00:00,2018-08-09 00:00:00,2018-08-22 00:00:00,2018-08-21 00:00:00,1,1,2018,8,2018-08
ord_000055,c_000194,delivered,2017-08-20 00:00:00,2017-08-20 00:00:00,2017-08-22 00:00:00,2017-08-31 00:00:00,2017-09-12 00:00:00,0,0,2017,8,2017-08
ord_000056,c_000235,delivered,2017-09-27 00:00:00,2017-09-27 00:00:00,2017-09-30 00:00:00,2017-10-06 00:00:00,2017-10-18 00:00:00,0,0,2017,9,2017-09
ord_000057,c_000718,delivered,2018-03-23 00:00:00,2018-03-23 00:00:00,2018-03-25 00:00:00,2018-04-05 00:00:00,2018-04-16 00:00:00,0,0,2018,3,2018-03
ord_000058,c_001174,delivered,2017-08-10 00:00:00,2017-08-10 00:00:00,2017-08-12 00:00:00,2017-08-20 00:00:00,2017-08-23 00:00:00,0,0,2017,8,2017-08
ord_000059,c_001183,delivered,2017-02-21 00:00:00,2017-02-21 00:00:00,2017-02-22 00:00:00,2017-03-03 00:00:00,2017-03-18 00:00:00,0,0,2017,2,2017-02
ord_000060,c_001303,delivered,2017-04-26 00:00:00,2017-04-26 00:00:00,2017-04-27 00:00:00,2017-05-03 00:00:00,2017-05-14 00:00:00,0,0,2017,4,2017-04
ord_000061,c_000816,delivered,2018-06-22 00:00:00,2018-06-22 00:00:00,2018-06-23 00:00:00,2018-06-28 00:00:00,2018-07-14 00:00:00,0,0,2018,6,2018-06
ord_000062,c_000404,delivered,2018-07-19 00:00:00,2018-07-19 00:00:00,2018-07-20 00:00:00,2018-07-29 00:00:00,2018-08-12 00:00:00,0,0,2018,7,2018-07
ord_000063,c_000893,delivered,2018-06-25 00:00:00,2018-06-25 00:00:00,2018-06-27 00:00:00,2018-07-02 00:00:00,2018-07-09 00:00:00,0,0,2018,6,2018-06
ord_000064,c_000678,invoiced,2017-01-19 00:00:00,2017-01-19 00:00:00,2017-01-21 00:00:00,,2017-02-12 00:00:00,0,0,2017,1,2017-01
ord_000065,c_001335,delivered,2018-01-27 00:00:00,2018-01-27 00:00:00,2018-01-28 00:00:00,2018-02-19 00:00:00,2018-02-15 00:00:00,1,4,2018,1,2018-01
ord_000066,c_000068,delivered,2018-02-23 00:00:00,2018-02-23 00:00:00,2018-02-24 00:00:00,2018-03-15 00:00:00,2018-03-15 00:00:00,0,0,2018,2,2018-02
