ticker,trading_date,open_price,high_price,low_price,close_price,adj_close_price,volume,daily_return_pct,trading_value_usd,year_month,ma_50,volatility_30d
AAPL,2023-01-03,173.21,174.34,172.12,173.69,173.69,21627929,-0.75,3756554988.01,2023-01,173.69,
AAPL,2023-01-04,173.54,175.6,171.42,172.99,172.99,15688216,-0.4,2713904485.84,2023-01,173.34,0.25
AAPL,2023-01-05,173.72,175.3,172.74,174.0,174.0,7880224,0.58,1371158976.0,2023-01,173.56,0.69
AAPL,2023-01-06,171.78,173.34,170.77,172.06,172.06,10428299,-1.11,1794293125.94,2023-01,173.18,0.73
AAPL,2023-01-09,173.12,175.4,172.22,172.68,172.68,18496262,0.36,3193934522.16,2023-01,173.08,0.72
AAPL,2023-01-10,177.06,178.67,175.25,177.37,177.37,13650323,2.71,2421157790.51,2023-01,173.8,1.37
AAPL,2023-01-11,180.02,182.26,176.81,179.34,179.34,12501843,1.11,2242080523.62,2023-01,174.59,1.3
AAPL,2023-01-12,185.87,187.71,182.79,185.49,185.49,21561082,3.43,3999365100.18,2023-01,175.95,1.62
AAPL,2023-01-13,182.92,183.28,180.58,182.07,182.07,19437266,-1.84,3538943020.62,2023-01,176.63,1.74
AAPL,2023-01-16,181.68,185.15,180.04,182.46,182.46,47491638,0.21,8665324269.48,2023-01,177.22,1.64
AAPL,2023-01-17,184.85,185.35,181.97,184.55,184.55,26075842,1.14,4812296641.1,2023-01,177.88,1.57
AAPL,2023-01-18,182.59,183.99,180.89,182.01,182.01,14439318,-1.38,2628100269.18,2023-01,178.23,1.6
AAPL,2023-01-19,186.53,187.17,184.38,186.87,186.87,12710687,2.67,2375246079.69,2023-01,178.89,1.66
AAPL,2023-01-20,185.22,188.18,183.3,185.92,185.92,10121818,-0.51,1881848402.56,2023-01,179.39,1.62
AAPL,2023-01-23,184.0,184.51,182.92,184.08,184.08,9328891,-0.99,1717262255.28,2023-01,179.71,1.6
AAPL,2023-01-24,188.37,190.02,186.9,188.17,188.17,8193368,2.22,1541746056.56,2023-01,180.23,1.62
AAPL,2023-01-25,185.63,186.89,183.96,186.42,186.42,13029910,-0.93,2429035822.2,2023-01,180.6,1.6
