case_number,incident_date,primary_type,crime_category,description,location_description,arrest,domestic,district,ward,community_area,fbi_code,year,month,day_of_week,hour_of_day,year_month
JB000001,2023-07-28 14:56:00,DECEPTIVE PRACTICE,Financial/Cyber,REPORTED DECEPTIVE PRACTICE INCIDENT,PARKING LOT / GARAGE,0,0,3,33,75,26,2023,7,Friday,14,2023-07
JB000002,2023-12-12 08:41:00,BATTERY,Violent,REPORTED BATTERY INCIDENT,SMALL RETAIL STORE,0,1,3,21,59,03,2023,12,Tuesday,8,2023-12
JB000003,2022-05-06 14:52:00,BURGLARY,Property,REPORTED BURGLARY INCIDENT,RESIDENCE,0,0,20,39,63,26,2022,5,Friday,14,2022-05
JB000004,2023-03-15 17:00:00,BATTERY,Violent,REPORTED BATTERY INCIDENT,COMMERCIAL / BUSINESS OFFICE,0,0,18,22,18,07,2023,3,Wednesday,17,2023-03
JB000005,2022-04-29 11:23:00,THEFT,Property,REPORTED THEFT INCIDENT,RESTAURANT,0,0,10,25,51,03,2022,4,Friday,11,2022-04
JB000006,2022-06-18 08:36:00,NARCOTICS,Public Order,REPORTED NARCOTICS INCIDENT,APARTMENT,1,0,14,3,1,26,2022,6,Saturday,8,2022-06
JB000007,2023-04-10 02:42:00,CRIMINAL DAMAGE,Property,REPORTED CRIMINAL DAMAGE INCIDENT,APARTMENT,0,0,4,27,22,26,2023,4,Monday,2,2023-04
JB000008,2023-02-04 19:23:00,THEFT,Property,REPORTED THEFT INCIDENT,PARKING LOT / GARAGE,0,0,4,41,35,07,2023,2,Saturday,19,2023-02
JB000009,2022-10-02 03:13:00,CRIMINAL DAMAGE,Property,REPORTED CRIMINAL DAMAGE INCIDENT,STREET,0,0,2,4,72,18,2022,10,Sunday,3,2022-10
JB000010,2023-08-27 20:28:00,ROBBERY,Violent,REPORTED ROBBERY INCIDENT,SIDEWALK,0,0,2,23,7,18,2023,8,Sunday,20,2023-08
